log2m,k,n,t,p1len,p1alm,p2len,p2alm,p3len,p3alm,tpr,fpr,fpr1,fpr3
16,0.000,384,128,64.0,62,128,128,64.0,64,1.000,0.984,0.969,1.000
16,0.125,384,128,64.0,62,128,128,64.0,64,1.000,0.984,0.969,1.000
16,0.250,384,128,64.0,60,128,128,64.0,64,1.000,0.969,0.938,1.000
16,0.375,384,128,64.0,55,128,128,64.0,64,1.000,0.930,0.859,1.000
16,0.500,384,128,64.0,47,128,128,64.0,61,1.000,0.844,0.734,0.953
16,0.625,384,128,64.0,48,128,128,64.0,64,1.000,0.875,0.750,1.000
16,0.750,384,128,64.0,45,128,128,64.0,60,1.000,0.820,0.703,0.938
16,0.875,384,128,64.0,45,128,128,64.0,60,1.000,0.820,0.703,0.938
16,1.000,384,128,64.0,45,128,128,64.0,56,1.000,0.789,0.703,0.875
16,1.125,384,128,64.0,45,128,128,64.0,56,1.000,0.789,0.703,0.875
16,1.250,384,128,64.0,44,128,128,64.0,56,1.000,0.781,0.688,0.875
16,1.375,384,128,64.0,43,128,128,64.0,56,1.000,0.773,0.672,0.875
16,1.500,384,128,64.0,43,128,128,64.0,56,1.000,0.773,0.672,0.875
16,1.625,384,128,64.0,43,128,128,64.0,56,1.000,0.773,0.672,0.875
16,1.750,384,128,64.0,43,128,128,64.0,56,1.000,0.773,0.672,0.875
16,1.875,384,128,64.0,37,128,128,64.0,55,1.000,0.719,0.578,0.859
16,2.000,384,128,64.0,37,128,128,64.0,55,1.000,0.719,0.578,0.859
16,2.125,384,128,64.0,37,128,128,64.0,55,1.000,0.719,0.578,0.859
16,2.250,384,128,64.0,22,128,128,64.0,38,1.000,0.469,0.344,0.594
16,2.375,384,128,64.0,16,128,128,64.0,16,1.000,0.250,0.250,0.250
16,2.500,384,128,64.0,16,128,128,64.0,16,1.000,0.250,0.250,0.250
16,2.625,384,128,64.0,11,128,128,64.0,17,1.000,0.219,0.172,0.266
16,2.750,384,128,64.0,8,128,128,64.0,10,1.000,0.141,0.125,0.156
16,2.875,384,128,64.0,8,128,128,64.0,7,1.000,0.117,0.125,0.109
16,3.000,384,128,64.0,8,128,128,64.0,7,1.000,0.117,0.125,0.109
16,3.125,384,128,64.0,8,128,128,64.0,6,1.000,0.109,0.125,0.094
16,3.250,384,128,64.0,7,128,128,64.0,3,1.000,0.078,0.109,0.047
16,3.375,384,128,64.0,7,128,128,64.0,3,1.000,0.078,0.109,0.047
16,3.500,384,128,64.0,7,128,128,64.0,3,1.000,0.078,0.109,0.047
16,3.625,384,128,64.0,0,128,128,64.0,3,1.000,0.023,0.000,0.047
16,3.750,384,128,64.0,0,128,128,64.0,3,1.000,0.023,0.000,0.047
16,3.875,384,128,64.0,0,128,128,64.0,3,1.000,0.023,0.000,0.047
16,4.000,384,128,64.0,0,128,128,64.0,3,1.000,0.023,0.000,0.047
16,4.125,384,128,64.0,0,128,128,64.0,3,1.000,0.023,0.000,0.047
16,4.250,384,128,64.0,0,128,128,64.0,3,1.000,0.023,0.000,0.047
16,4.375,384,128,64.0,0,128,128,64.0,2,1.000,0.016,0.000,0.031
16,4.500,384,128,64.0,0,128,128,64.0,2,1.000,0.016,0.000,0.031
16,4.625,384,128,64.0,0,128,128,64.0,1,1.000,0.008,0.000,0.016
16,4.750,384,128,64.0,0,128,128,64.0,1,1.000,0.008,0.000,0.016
16,4.875,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,5.000,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,5.125,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,5.250,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,5.375,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,5.500,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,5.625,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,5.750,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,5.875,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,6.000,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,6.125,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,6.250,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,6.375,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,6.500,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,6.625,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,6.750,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,6.875,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,7.000,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,7.125,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,7.250,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,7.375,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,7.500,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,7.625,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,7.750,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,7.875,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
16,8.000,384,128,64.0,0,128,128,64.0,0,1.000,0.000,0.000,0.000
