4.000	0.024414	0.007812
3.875	0.029297	0.015625
3.750	0.030273	0.023438
3.625	0.035156	0.031250
3.500	0.046875	0.046875
3.375	0.051758	0.046875
3.250	0.064453	0.046875
3.125	0.080078	0.046875
3.000	0.107422	0.054688
2.875	0.126953	0.062500
2.750	0.159180	0.062500
2.625	0.288086	0.125000
2.500	0.323242	0.125000
2.375	0.372070	0.132812
2.250	0.516602	0.164062
2.125	0.590820	0.250000
2.000	0.762695	0.289062
1.875	0.893555	0.367188
1.750	0.829102	0.453125
1.625	0.992188	0.507812
1.500	1.000000	0.593750
1.375	1.000000	0.625000
1.250	1.000000	0.710938
1.125	1.000000	0.765625
1.000	1.000000	0.773438
0.875	1.000000	0.804688
0.750	1.000000	0.851562
