4.000	0.011719	0.033203	0.015625	0.013672
3.875	0.023438	0.035156	0.015625	0.019531
3.750	0.027344	0.060547	0.015625	0.021484
3.625	0.031250	0.070312	0.031250	0.031250
3.500	0.058594	0.074219	0.035156	0.046875
3.375	0.078125	0.085938	0.035156	0.056641
3.250	0.078125	0.097656	0.054688	0.066406
3.125	0.113281	0.140625	0.054688	0.083984
3.000	0.125000	0.152344	0.054688	0.089844
2.875	0.128906	0.226562	0.070312	0.099609
2.750	0.195312	0.261719	0.089844	0.142578
2.625	0.214844	0.328125	0.167969	0.191406
2.500	0.316406	0.478516	0.191406	0.253906
2.375	0.363281	0.523438	0.265625	0.314453
2.250	0.390625	0.894531	0.363281	0.376953
2.125	0.496094	0.998047	0.570312	0.533203
2.000	0.531250	1.000000	0.652344	0.591797
1.875	0.597656	1.000000	0.785156	0.691406
1.750	0.617188	1.000000	0.785156	0.701172
1.625	0.718750	1.000000	0.824219	0.771484
1.500	0.730469	1.000000	0.824219	0.777344
1.375	0.742188	1.000000	0.824219	0.783203
1.250	0.742188	1.000000	0.824219	0.783203
1.125	0.789062	1.000000	0.925781	0.857422
1.000	0.820312	1.000000	0.921875	0.871094
0.875	0.843750	1.000000	0.941406	0.892578
0.750	0.855469	1.000000	0.953125	0.904297
