4.000	0.007812	0.070312	0.007812	0.007812
3.875	0.015625	0.074219	0.015625	0.015625
3.750	0.039062	0.113281	0.015625	0.027344
3.625	0.039062	0.113281	0.015625	0.027344
3.500	0.039062	0.113281	0.031250	0.035156
3.375	0.039062	0.125000	0.039062	0.039062
3.250	0.054688	0.140625	0.039062	0.046875
3.125	0.054688	0.140625	0.046875	0.050781
3.000	0.070312	0.218750	0.054688	0.062500
2.875	0.070312	0.242188	0.054688	0.062500
2.750	0.093750	0.312500	0.101562	0.097656
2.625	0.125000	0.335938	0.109375	0.117188
2.500	0.187500	0.339844	0.125000	0.156250
2.375	0.312500	1.000000	0.328125	0.320312
2.250	0.343750	1.000000	0.375000	0.359375
2.125	0.367188	1.000000	0.421875	0.394531
2.000	0.375000	1.000000	0.554688	0.464844
1.875	0.429688	1.000000	0.585938	0.507812
1.750	0.507812	1.000000	0.648438	0.578125
1.625	0.539062	1.000000	0.687500	0.613281
1.500	0.601562	1.000000	0.718750	0.660156
1.375	0.664062	1.000000	0.812500	0.738281
1.250	0.703125	1.000000	0.859375	0.781250
1.125	0.710938	1.000000	0.937500	0.824219
1.000	0.765625	1.000000	0.937500	0.851562
0.875	0.796875	1.000000	0.937500	0.867188
0.750	0.835938	1.000000	0.937500	0.886719
