4.000	0.007812	0.066406	0.000000	0.003906
3.875	0.031250	0.109375	0.000000	0.015625
3.750	0.031250	0.109375	0.015625	0.023438
3.625	0.031250	0.109375	0.015625	0.023438
3.500	0.031250	0.117188	0.015625	0.023438
3.375	0.039062	0.117188	0.039062	0.039062
3.250	0.046875	0.121094	0.039062	0.042969
3.125	0.062500	0.132812	0.046875	0.054688
3.000	0.062500	0.152344	0.046875	0.054688
2.875	0.085938	0.203125	0.054688	0.070312
2.750	0.093750	0.281250	0.062500	0.078125
2.625	0.117188	0.335938	0.109375	0.113281
2.500	0.195312	0.984375	0.140625	0.167969
2.375	0.296875	1.000000	0.453125	0.375000
2.250	0.343750	1.000000	0.562500	0.453125
2.125	0.367188	1.000000	0.570312	0.468750
2.000	0.367188	1.000000	0.609375	0.488281
1.875	0.476562	1.000000	0.640625	0.558594
1.750	0.484375	1.000000	0.664062	0.574219
1.625	0.515625	1.000000	0.773438	0.644531
1.500	0.546875	1.000000	0.804688	0.675781
1.375	0.562500	1.000000	0.804688	0.683594
1.250	0.671875	1.000000	0.820312	0.746094
1.125	0.695312	1.000000	0.898438	0.796875
1.000	0.726562	1.000000	0.929688	0.828125
0.875	0.750000	1.000000	0.867188	0.808594
0.750	0.804688	1.000000	0.960938	0.882812
