"Address","Packets","Bytes","Tx Packets","Tx Bytes","Rx Packets","Rx Bytes","Country","City","AS Number","AS Organization"
"0.0.0.0",328,17056,0,0,328,17056,"","","",""
"1.0.36.139",1,52,0,0,1,52,"","","",""
"1.0.64.78",1,52,0,0,1,52,"","","",""
"1.0.65.212",4,208,0,0,4,208,"","","",""
"1.0.67.66",15,780,0,0,15,780,"","","",""
"1.0.227.102",5,260,0,0,5,260,"","","",""
"1.0.254.238",3,156,0,0,3,156,"","","",""
"1.1.24.44",1,52,0,0,1,52,"","","",""
"1.1.34.171",2,104,0,0,2,104,"","","",""
"1.1.149.182",3,156,0,0,3,156,"","","",""
"1.2.38.184",1,52,0,0,1,52,"","","",""
"1.2.47.183",3,156,0,0,3,156,"","","",""
"1.2.54.84",4,208,0,0,4,208,"","","",""
"1.2.163.101",1,52,0,0,1,52,"","","",""
"1.2.210.83",5,260,0,0,5,260,"","","",""
"1.3.251.80",5,260,0,0,5,260,"","","",""
"1.8.51.175",1,52,0,0,1,52,"","","",""
"1.8.72.221",1,52,0,0,1,52,"","","",""
"1.8.200.175",1,52,0,0,1,52,"","","",""
"1.12.2.37",2,104,0,0,2,104,"","","",""
"1.12.38.67",5,260,0,0,5,260,"","","",""
"1.13.5.138",6,312,0,0,6,312,"","","",""
"1.15.19.145",6,312,0,0,6,312,"","","",""
"1.15.28.209",1,52,0,0,1,52,"","","",""
"1.15.166.226",1,52,0,0,1,52,"","","",""
"1.15.174.173",3,156,0,0,3,156,"","","",""
"1.15.182.177",2,104,0,0,2,104,"","","",""
"1.32.30.113",1,52,0,0,1,52,"","","",""
"1.32.39.96",1,52,0,0,1,52,"","","",""
"1.32.134.248",1,52,0,0,1,52,"","","",""
"1.32.139.253",1,52,0,0,1,52,"","","",""
"1.32.142.145",1,52,0,0,1,52,"","","",""
"1.32.172.23",1,52,0,0,1,52,"","","",""
"1.32.201.238",1,52,0,0,1,52,"","","",""
"1.32.248.218",3,156,0,0,3,156,"","","",""
"1.33.49.198",2,104,0,0,2,104,"","","",""
"1.33.50.73",2,104,0,0,2,104,"","","",""
"1.33.113.166",1,52,0,0,1,52,"","","",""
"1.33.137.65",1,52,0,0,1,52,"","","",""
"1.33.183.53",1,52,0,0,1,52,"","","",""
"1.33.211.85",1,52,0,0,1,52,"","","",""
"1.33.253.148",1,52,0,0,1,52,"","","",""
"1.33.253.154",1,52,0,0,1,52,"","","",""
"1.34.41.50",1,52,0,0,1,52,"","","",""
"1.34.41.185",2,104,0,0,2,104,"","","",""
"1.34.110.241",1,52,0,0,1,52,"","","",""
"1.34.209.118",6,312,0,0,6,312,"","","",""
"1.34.248.21",1,52,0,0,1,52,"","","",""
"1.35.71.122",2,104,0,0,2,104,"","","",""
"1.35.148.254",1,52,0,0,1,52,"","","",""
