"Address","Packets","Bytes","Tx Packets","Tx Bytes","Rx Packets","Rx Bytes","Country","City","AS Number","AS Organization"
"0.0.0.0",187,9724,0,0,187,9724,"","","",""
"0.163.226.128",1,52,1,52,0,0,"","","",""
"1.0.65.212",1,52,0,0,1,52,"","","",""
"1.0.67.66",6,312,0,0,6,312,"","","",""
"1.0.67.120",1,52,0,0,1,52,"","","",""
"1.0.227.102",3,156,0,0,3,156,"","","",""
"1.0.254.238",2,104,0,0,2,104,"","","",""
"1.1.34.171",7,364,0,0,7,364,"","","",""
"1.1.149.182",5,260,0,0,5,260,"","","",""
"1.1.206.88",1,52,0,0,1,52,"","","",""
"1.1.222.32",1,52,0,0,1,52,"","","",""
"1.1.225.254",1,52,0,0,1,52,"","","",""
"1.2.38.184",9,468,0,0,9,468,"","","",""
"1.2.47.183",1,52,0,0,1,52,"","","",""
"1.2.54.84",9,468,0,0,9,468,"","","",""
"1.2.61.191",1,52,0,0,1,52,"","","",""
"1.2.95.126",8,416,0,0,8,416,"","","",""
"1.2.104.49",1,52,0,0,1,52,"","","",""
"1.2.163.101",1,52,0,0,1,52,"","","",""
"1.2.210.83",3,156,0,0,3,156,"","","",""
"1.2.217.82",2,104,0,0,2,104,"","","",""
"1.3.41.187",1,52,0,0,1,52,"","","",""
"1.3.251.80",9,468,0,0,9,468,"","","",""
"1.7.114.143",1,52,1,52,0,0,"","","",""
"1.8.51.175",1,52,0,0,1,52,"","","",""
"1.8.135.175",2,104,0,0,2,104,"","","",""
"1.9.204.156",1,52,0,0,1,52,"","","",""
"1.12.2.37",1,52,0,0,1,52,"","","",""
"1.12.38.67",11,572,0,0,11,572,"","","",""
"1.13.5.138",5,260,0,0,5,260,"","","",""
"1.15.19.145",2,104,0,0,2,104,"","","",""
"1.15.28.209",2,104,0,0,2,104,"","","",""
"1.15.166.226",5,260,0,0,5,260,"","","",""
"1.15.174.173",12,624,0,0,12,624,"","","",""
"1.15.182.177",5,260,0,0,5,260,"","","",""
"1.15.241.179",1,52,0,0,1,52,"","","",""
"1.32.39.96",1,52,0,0,1,52,"","","",""
"1.32.131.44",1,52,0,0,1,52,"","","",""
"1.33.107.12",2,104,0,0,2,104,"","","",""
"1.33.113.166",2,104,0,0,2,104,"","","",""
"1.33.125.48",1,52,0,0,1,52,"","","",""
"1.33.137.65",1,52,0,0,1,52,"","","",""
"1.33.253.148",1,52,0,0,1,52,"","","",""
"1.33.253.154",1,52,0,0,1,52,"","","",""
"1.33.253.156",1,52,0,0,1,52,"","","",""
"1.34.110.241",5,260,0,0,5,260,"","","",""
"1.34.248.21",6,312,0,0,6,312,"","","",""
"1.35.71.122",5,260,0,0,5,260,"","","",""
"1.35.148.254",1,52,0,0,1,52,"","","",""
"1.35.170.175",16,832,0,0,16,832,"","","",""
